,key,group,title,description,active,has_outrights
0,americanfootball_ncaaf,American Football,NCAAF,US College Football,True,False
1,americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2023/2024,True,True
2,americanfootball_xfl,American Football,XFL,US Football,True,False
3,aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
4,baseball_mlb,Baseball,MLB,Major League Baseball,True,False
5,baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2023,True,True
6,basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,True,False
7,basketball_nba,Basketball,NBA,US Basketball,True,False
8,basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2022/2023,True,True
9,cricket_ipl,Cricket,IPL,Indian Premier League,True,False
10,cricket_odi,Cricket,One Day Internationals,One Day Internationals,True,False
11,cricket_test_match,Cricket,Test Matches,International Test Matches,True,False
12,golf_masters_tournament_winner,Golf,Masters Tournament Winner,2024 Winner,True,True
13,golf_pga_championship_winner,Golf,PGA Championship Winner,2023 Winner,True,True
14,golf_the_open_championship_winner,Golf,The Open Winner,2023 Winner,True,True
15,golf_us_open_winner,Golf,US Open Winner,2023 Winner,True,True
16,icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,True,False
17,icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2022/2023,True,True
18,icehockey_sweden_allsvenskan,Ice Hockey,HockeyAllsvenskan,Swedish Hockey Allsvenskan,True,False
19,mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,True,False
20,rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,True,False
21,soccer_argentina_primera_division,Soccer,Primera División - Argentina,Argentine Primera División,True,False
22,soccer_australia_aleague,Soccer,A-League,Aussie Soccer,True,False
23,soccer_austria_bundesliga,Soccer,Austrian Football Bundesliga,Austrian Soccer,True,False
24,soccer_belgium_first_div,Soccer,Belgium First Div,Belgian First Division A,True,False
25,soccer_brazil_campeonato,Soccer,Brazil Série A,Brasileirão Série A,True,False
26,soccer_brazil_serie_b,Soccer,Brazil Série B,Campeonato Brasileiro Série B,True,False
27,soccer_chile_campeonato,Soccer,Primera División - Chile,Campeonato Chileno,True,False
28,soccer_china_superleague,Soccer,Super League - China,Chinese Soccer,True,False
29,soccer_conmebol_copa_libertadores,Soccer,Copa Libertadores,CONMEBOL Copa Libertadores,True,False
30,soccer_denmark_superliga,Soccer,Denmark Superliga,Danish Soccer,True,False
31,soccer_efl_champ,Soccer,Championship,EFL Championship,True,False
32,soccer_england_league1,Soccer,League 1,EFL League 1,True,False
33,soccer_england_league2,Soccer,League 2,EFL League 2 ,True,False
34,soccer_epl,Soccer,EPL,English Premier League,True,False
35,soccer_fa_cup,Soccer,FA Cup,Football Association Challenge Cup,True,False
36,soccer_finland_veikkausliiga,Soccer,Veikkausliiga - Finland,Finnish  Soccer,True,False
37,soccer_france_ligue_one,Soccer,Ligue 1 - France,French Soccer,True,False
38,soccer_france_ligue_two,Soccer,Ligue 2 - France,French Soccer,True,False
39,soccer_germany_bundesliga,Soccer,Bundesliga - Germany,German Soccer,True,False
40,soccer_germany_bundesliga2,Soccer,Bundesliga 2 - Germany,German Soccer,True,False
41,soccer_germany_liga3,Soccer,3. Liga - Germany,German Soccer,True,False
42,soccer_greece_super_league,Soccer,Super League - Greece,Greek Soccer,True,False
43,soccer_italy_serie_a,Soccer,Serie A - Italy,Italian Soccer,True,False
44,soccer_italy_serie_b,Soccer,Serie B - Italy,Italian Soccer,True,False
45,soccer_japan_j_league,Soccer,J League,Japan Soccer League,True,False
46,soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,True,False
47,soccer_league_of_ireland,Soccer,League of Ireland,Airtricity League Premier Division,True,False
48,soccer_mexico_ligamx,Soccer,Liga MX,Mexican Soccer,True,False
49,soccer_netherlands_eredivisie,Soccer,Dutch Eredivisie,Dutch Soccer,True,False
50,soccer_norway_eliteserien,Soccer,Eliteserien - Norway,Norwegian Soccer,True,False
51,soccer_poland_ekstraklasa,Soccer,Ekstraklasa - Poland,Polish Soccer,True,False
52,soccer_portugal_primeira_liga,Soccer,Primeira Liga - Portugal,Portugese Soccer,True,False
53,soccer_spain_la_liga,Soccer,La Liga - Spain,Spanish Soccer,True,False
54,soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,True,False
55,soccer_spl,Soccer,Premiership - Scotland,Scottish Premiership,True,False
56,soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,True,False
57,soccer_sweden_superettan,Soccer,Superettan - Sweden,Swedish Soccer,True,False
58,soccer_switzerland_superleague,Soccer,Swiss Superleague,Swiss Soccer,True,False
59,soccer_turkey_super_league,Soccer,Turkey Super League,Turkish Soccer,True,False
60,soccer_uefa_champs_league,Soccer,UEFA Champions,European Champions League,True,False
61,soccer_uefa_europa_conference_league,Soccer,UEFA Europa Conference League,UEFA Europa Conference League,True,False
62,soccer_uefa_europa_league,Soccer,UEFA Europa,European Europa League,True,False
63,soccer_uefa_nations_league,Soccer,UEFA Nations League,UEFA Nations League,True,False
64,soccer_usa_mls,Soccer,MLS,Major League Soccer,True,False
