,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/lWqjXgut48IK5f5IRbDBAoO2Epp.jpg,"[16, 12, 10751, 14, 35]",502356,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",8282.211,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,The Super Mario Bros. Movie,False,7.5,1389
1,False,/7bWxAsNPv9CXHOhZbJVlj2KxgfP.jpg,"[27, 53]",713704,en,Evil Dead Rise,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,2291.491,/mIBCtPvKZQlxubxKMeViO2UrP3q.jpg,2023-04-12,Evil Dead Rise,False,7.0,170
2,False,/a2tys4sD7xzVaogPntGsT1ypVoT.jpg,"[53, 35, 80]",804150,en,Cocaine Bear,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",1332.34,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,2023-02-22,Cocaine Bear,False,6.4,862
3,False,/5Y5pz0NX7SZS9036I733F7uNcwK.jpg,"[27, 53]",758323,en,The Pope's Exorcist,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",1229.734,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,2023-04-05,The Pope's Exorcist,False,6.6,135
4,False,/wD2kUCX1Bb6oeIb2uz7kbdfLP6k.jpg,"[27, 53]",980078,en,Winnie the Pooh: Blood and Honey,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",813.708,/ewF3IlGscc7FjgGEPcQvZsAsgAW.jpg,2023-01-27,Winnie the Pooh: Blood and Honey,False,5.8,509
5,False,/sp7MPK2K60LLd7A6zjHKsfgjFil.jpg,"[27, 53]",296271,en,The Devil Conspiracy,"The hottest biotech company in the world has discovered they can clone history’s most influential people from the dead. Now, they are auctioning clones of Michelangelo, Galileo, Vivaldi, and others for tens of millions of dollars to the world’s ultra-rich. But when they steal the Shroud of Turin and clone the DNA of Jesus Christ, all hell breaks loose.",722.341,/2lUYbD2C3XSuwqMUbDVDQuz9mqz.jpg,2023-01-13,The Devil Conspiracy,False,6.3,129
6,False,/fI5RsaM0NSU6TqztRhA2pal5ezv.jpg,"[28, 80, 53]",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",504.247,/jwMMQR69Xz9AYtX4u2uYJgfAAev.jpg,2023-05-17,Fast X,False,0.0,0
7,False,/94TIUEhuwv8PhdIADEvSuwPljS5.jpg,"[10752, 28]",840326,fi,Sisu,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",447.464,/dHx5yuBb05U9vNaNhIBD7jWyxPk.jpg,2023-01-27,Sisu,False,7.0,15
8,False,/8c9c4xg0IdXDg627uQF35K54VpC.jpg,"[10749, 35]",800301,en,What's Love Got to Do with It?,Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,275.484,/14fGGPAL5PQxuesjO4CFoDJEH5G.jpg,2023-01-26,What's Love Got to Do with It?,False,6.5,41
9,False,/46FRuCeAn6TrS4F1P4F9zhyCpyo.jpg,[18],785084,en,The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,282.697,/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,2022-12-09,The Whale,False,8.1,2085
